year	month	day	hour	minute	second	rain	flow	baseflow	quick_flow
1990	1	1	0	0	0	0.2507	0.0238	0.0238	0.0000
1990	1	2	0	0	0	0.2054	0.0260	0.0260	0.0000
1990	1	3	0	0	0	0.0158	0.0501	0.0501	0.0000
1990	1	4	0	0	0	0.0030	0.0559	0.0559	0.0000
1990	1	5	0	0	0	0.0223	0.0374	0.0374	0.0000
1990	1	6	0	0	0	0.1870	0.0337	0.0337	0.0000
1990	1	7	0	0	0	0.1500	0.0519	0.0341	0.0178
1990	1	8	0	0	0	0.0144	0.0563	0.0345	0.0218
1990	1	9	0	0	0	0.0189	0.0540	0.0350	0.0190
1990	1	10	0	0	0	0.1246	0.0450	0.0354	0.0096
1990	1	11	0	0	0	0.1378	0.0872	0.0358	0.0514
1990	1	12	0	0	0	0.0287	0.1225	0.0362	0.0863
1990	1	13	0	0	0	0.0011	0.0602	0.0366	0.0236
1990	1	14	0	0	0	0.0135	0.0422	0.0370	0.0052
1990	1	15	0	0	0	0.0550	0.0370	0.0370	0.0000
1990	1	16	0	0	0	0.1605	0.0470	0.0379	0.0091
1990	1	17	0	0	0	0.0622	0.1037	0.0383	0.0654
1990	1	18	0	0	0	0.0250	0.0621	0.0387	0.0234
1990	1	19	0	0	0	0.2694	0.0484	0.0391	0.0092
1990	1	20	0	0	0	0.0110	0.1100	0.0396	0.0704
1990	1	21	0	0	0	0.0359	0.0522	0.0400	0.0122
1990	1	22	0	0	0	0.1020	0.0472	0.0404	0.0069
1990	1	23	0	0	0	0.5016	0.0648	0.0408	0.0240
1990	1	24	0	0	0	0.1495	0.1239	0.0412	0.0827
1990	1	25	0	0	0	0.6009	0.0764	0.0416	0.0348
1990	1	26	0	0	0	0.1270	0.2274	0.0421	0.1854
1990	1	27	0	0	0	0.7577	0.1038	0.0425	0.0613
1990	1	28	0	0	0	0.5133	0.1383	0.0429	0.0954
1990	1	29	0	0	0	0.3353	0.1265	0.0433	0.0832
1990	1	30	0	0	0	0.1783	0.2761	0.0437	0.2324
1990	1	31	0	0	0	0.2754	0.2973	0.0441	0.2532
1990	2	1	0	0	0	0.3152	0.2251	0.0446	0.1805
1990	2	2	0	0	0	0.1807	0.1890	0.0450	0.1440
1990	2	3	0	0	0	0.0124	0.1492	0.0454	0.1039
1990	2	4	0	0	0	0.2973	0.1138	0.0458	0.0679
1990	2	5	0	0	0	0.0009	0.1896	0.0462	0.1434
1990	2	6	0	0	0	0.0028	0.1065	0.0466	0.0599
1990	2	7	0	0	0	1.0015	0.0899	0.0471	0.0428
1990	2	8	0	0	0	0.1495	0.2468	0.0475	0.1993
1990	2	9	0	0	0	0.0476	0.2046	0.0479	0.1567
1990	2	10	0	0	0	0.1301	0.1178	0.0483	0.0695
1990	2	11	0	0	0	0.2170	0.0943	0.0487	0.0456
1990	2	12	0	0	0	0.1710	0.0999	0.0492	0.0508
1990	2	13	0	0	0	0.2462	0.0908	0.0496	0.0413
1990	2	14	0	0	0	0.1083	0.1097	0.0500	0.0597
1990	2	15	0	0	0	0.0579	0.1068	0.0504	0.0564
1990	2	16	0	0	0	0.0063	0.0847	0.0508	0.0338
1990	2	17	0	0	0	0.1333	0.0672	0.0512	0.0160
1990	2	18	0	0	0	0.0241	0.1526	0.0517	0.1009
1990	2	19	0	0	0	0.6833	0.0970	0.0521	0.0450
1990	2	20	0	0	0	0.1602	0.2765	0.0525	0.2240
1990	2	21	0	0	0	0.1012	0.3125	0.0529	0.2596
1990	2	22	0	0	0	0.0001	0.1331	0.0533	0.0798
1990	2	23	0	0	0	0.0210	0.0828	0.0537	0.0291
1990	2	24	0	0	0	0.2121	0.0667	0.0542	0.0125
1990	2	25	0	0	0	0.2532	0.1165	0.0546	0.0619
1990	2	26	0	0	0	0.5870	0.1649	0.0550	0.1099
1990	2	27	0	0	0	0.3045	0.2099	0.0554	0.1545
1990	2	28	0	0	0	0.1640	0.1294	0.0558	0.0736
1990	3	1	0	0	0	0.1493	0.1094	0.0562	0.0532
1990	3	2	0	0	0	0.0125	0.0913	0.0567	0.0346
1990	3	3	0	0	0	0.0080	0.0785	0.0571	0.0214
1990	3	4	0	0	0	0.0472	0.1003	0.0575	0.0428
1990	3	5	0	0	0	0.0038	0.1312	0.0579	0.0733
1990	3	6	0	0	0	0.0104	0.0910	0.0583	0.0327
1990	3	7	0	0	0	0.0025	0.0670	0.0587	0.0083
1990	3	8	0	0	0	0.0663	0.0592	0.0592	0.0000
1990	3	9	0	0	0	0.0361	0.0553	0.0553	0.0000
1990	3	10	0	0	0	0.0571	0.0551	0.0515	0.0037
1990	3	11	0	0	0	0.0053	0.0507	0.0476	0.0031
1990	3	12	0	0	0	0.0012	0.0453	0.0437	0.0015
1990	3	13	0	0	0	0.2265	0.0399	0.0399	0.0000
1990	3	14	0	0	0	0.0007	0.0470	0.0408	0.0061
1990	3	15	0	0	0	0.0265	0.0418	0.0418	0.0000
1990	3	16	0	0	0	0.0000	0.0376	0.0376	0.0000
1990	3	17	0	0	0	0.0000	0.0439	0.0378	0.0061
1990	3	18	0	0	0	0.0020	0.0339	0.0339	0.0000
1990	3	19	0	0	0	0.0457	0.0307	0.0307	0.0000
1990	3	20	0	0	0	0.0042	0.0288	0.0288	0.0000
1990	3	21	0	0	0	0.0100	0.0277	0.0277	0.0000
